VARIABLES = "x", "y", "rho", "u", "v", "p"
ZONE T="Step 3000.0", I=161, J=113, F=POINT
1.0 0.0 0.8926943427204055 0.12224879389285462 0.0017445728560254738 0.8949567159872647
0.998465001583099 -0.001475000055507 0.9575589922195671 0.2654826723231654 0.11198943619012225 0.966456372053058
0.996433973312378 -0.001759000006132 1.0197584180340082 0.3885922386371265 0.052840626807183516 1.0322407530832884
0.993889987468719 -0.002114000031725 1.0155437847380178 0.3890158288151572 0.05476390881725933 1.0263770534159111
0.990813970565796 -0.002542000031099 1.0135962006528203 0.39176204920483515 0.05551193639643522 1.0235878924625108
0.987185001373291 -0.003043999895453 1.012183991633048 0.3955269384491792 0.055925014209084786 1.021581822030605
0.982980012893677 -0.003623000113294 1.0109064213639916 0.3996479338496687 0.05627136088434291 1.0197418880921425
0.97817200422287 -0.00428200000897 1.0096632320185512 0.40385342497546917 0.0564789759329357 1.0179818944787289
0.972733020782471 -0.00502200005576 1.008463710270815 0.4079756540066563 0.05660417736212633 1.0162721306702598
0.966633021831512 -0.00584700005129 1.0072485504497253 0.4119840982579456 0.056705996206353894 1.0145434867068397
0.959843993186951 -0.006757999770343 1.0061125638067896 0.4158718327177785 0.05668561353019401 1.0129275850068973
0.952332019805908 -0.007757000159472 1.0050261671748077 0.4196494569122543 0.05662071885797053 1.0113800054755089
0.944064021110535 -0.008847000077367 1.0039908373319553 0.42333480031335047 0.056479473121471925 1.0099054906165634
0.935012996196747 -0.010026999749243 1.0029958740627223 0.4269198311361449 0.05627957113562689 1.008491226493182
0.925153017044067 -0.011299000121653 1.0019856626352084 0.4304564824116559 0.05604807483132419 1.0070559088602766
0.914457023143768 -0.012662000022829 1.0009879079298543 0.43392563456469246 0.05572900014218025 1.005639930347902
0.902894973754883 -0.014116000384092 0.9999934529551223 0.43731203744801567 0.05536313644270147 1.0042274839596423
0.890447974205017 -0.015659999102354 0.9989934216598361 0.4406686212647922 0.05493980459230819 1.002806153378541
0.87710702419281 -0.017289999872446 0.9980163742514276 0.4439910451510063 0.054450411502590175 1.001420652167333
0.862851977348328 -0.019004000350833 0.9970603635627854 0.4472371912267732 0.05391644033947474 1.000069814149361
0.847672998905182 -0.020797999575734 0.9960899822880157 0.45043090653761303 0.053360819792675505 0.9987011338566363
0.831580996513367 -0.022667000070214 0.995140231433822 0.4535671698858374 0.052712478705536546 0.9973630305127137
0.814565002918243 -0.024602999910712 0.994206771709053 0.4566218101688955 0.0520077905181972 0.9960490245165482
0.796647012233734 -0.026601999998093 0.9932521704186574 0.4596295000899478 0.05126294277582025 0.9947050145352353
0.777839004993439 -0.028652999550104 0.9923172535841577 0.46260876895121145 0.05042075679180574 0.9933878979934927
0.75816798210144 -0.030748000368476 0.9913905058332317 0.46558630439900917 0.04952997536780464 0.992082101084604
0.737666010856628 -0.032876998186111 0.9904709668087978 0.4685796222314428 0.048548948325490206 0.9907871727854501
0.71637099981308 -0.035027001053095 0.9895557190338244 0.4715807450167712 0.04749085212736599 0.989498975078902
0.694330990314484 -0.037188000977039 0.9886128098004925 0.47458741440751223 0.046355275092814396 0.9881746487267328
0.671599984169006 -0.039344999939203 0.9876624860473533 0.4775896062143226 0.04508787530194448 0.9868437498369914
0.648235023021698 -0.041482999920845 0.9867115315307906 0.48058789506053745 0.043711134749542115 0.9855166151386437
0.62431001663208 -0.043588001281023 0.9857606856479122 0.4836073876853436 0.04220223359798244 0.9841923782562458
